Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
Increased Estimate,US East (N. Virginia),,Amazon EC2,0,3434.88,41218.56,USD,"Operating system (Linux), Quantity (12), Pricing strategy (Standard Reserved Instances 1 Year No Upfront), Storage amount (30 GB), Instance type (c5a.4xlarge)"
Increased Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,2828.804,33945.65,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (1000 GB), Quantity (4), Instance type (db.m6g.4xlarge), Deployment option (Single-AZ), Pricing strategy (Reserved 1yr No Upfront), Additional backup storage (1000 GB)"
Increased Estimate,US East (N. Virginia),,S3 Standard,0,6878.5,82542,USD,S3 Standard storage (5000 GB per month)
Increased Estimate,US East (N. Virginia),,Data Transfer,0,0,0,USD,
Increased Estimate,US East (N. Virginia),,Amazon Virtual Private Cloud (VPC),0,77.85,934.2,USD,Number of NAT Gateways (1)
Increased Estimate,US East (N. Virginia),,Application Load Balancer,0,2368.85,28426.2,USD,Number of Application Load Balancers (2)
Increased Estimate,US East (N. Virginia),,Amazon CloudWatch,0,2080.97,24971.64,USD,"Number of Metrics (includes detailed and custom metrics) (5000), GetMetricData: Number of metrics requested (5000), GetMetricWidgetImage: Number of metrics requested (1000), Number of other API requests (5000), Standard Logs: Data Ingested (300 GB), Logs Delivered to S3: Data Ingested (100 GB), Number of Dashboards (100), Number of Standard Resolution Alarm Metrics (1000), Total number of events for DynamoDB (150 million events per month)"
Increased Estimate,US East (N. Virginia),,Amazon Route 53,0,1276,15312,USD,"Hosted Zones (2) with 50 HTTPS checks, string matching checks, latency checks inside and outside AWS"
,,,,Total,18945.854,212038.25,,
,,,,,,,,
"Configurations for 500000 users with increased budget:
1. Increased the db storage from 100GB to 1000GB to accomodate more features such as ads, analytics etc. 
2. Increased the db read replicas from 1 to 3 so total servers now will be 4
3. Updated the storage on s3 from 500GB to 5000GB
4. Increased the NAT Gateway data processing from 100GB to 1000GB
5. Increased the cloudwatch metrics to be collected to 5000",,,,,,,,
,,,,,,,,
,,,,,,,,
Acknowledgement,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,
